track_id,rms,spectral,rolloff,Chromatic scale,Predominant Key,MFCC,key,mode,scale_name,key_full,key_correlation,scale_correlation,scale_pitches
2,0.10584918,1800.4421763884848,3797.049219051874,0.38510004,A,-138.77792,A,minor,Neapolitan Minor,A Neapolitan Minor,1.7207658290863037,0.09567400227699961,"A4, A#4, C5, D5, E5, F5, G#5, A5"
3,0.11689929,965.6778718847114,2072.6928962628867,0.44359982,E,-245.03818,E,arabic,Arabic,E Arabic,1.302371859550476,0.08900854417255946,"E4, F4, G#4, A4, B4, C5, D#5, E5"
4,0.18758447,1675.1347597235263,3365.961536525451,0.34966645,A,-104.9403,A,minor,Minor Pentatonic,A Minor Pentatonic,2.1609394550323486,0.0987987458705902,"A4, C5, D5, E5, G5, A5"
5,0.1504522,1617.4030342608041,3276.060413478576,0.29309353,B,-142.96272,B,major,Major Pentatonic,B Major Pentatonic,1.7826027870178223,0.10705559998750687,"B4, C#5, D#5, F#5, G#5, B5"
7,0.2692712,1265.3437184256659,3022.181175738988,0.352406,F,-150.70235,F,lydian,Lydian,F Lydian,1.2654521465301514,0.08704110128538949,"F4, G4, A4, B4, C5, D5, E5, F5"
8,0.12404416,1196.7317672780794,2575.8137391929095,0.38590676,E,-291.07843,E,blues,Blues,E Blues,1.5266257524490356,0.09629983827471733,"E4, G4, A4, A#4, B4, D5, E5"
10,0.06732989,1615.1029343588928,3405.7351161007537,0.261279,A,-267.08508,A,minor,Minor Pentatonic,A Minor Pentatonic,1.4676799774169922,0.09719220846891403,"A4, C5, D5, E5, G5, A5"
12,0.22966948,2100.061078303261,4701.57687675087,0.35965064,C,-95.876045,C,minor,Minor Pentatonic,C Minor Pentatonic,1.5245498418807983,0.09518119394779205,"C4, D#4, F4, G4, A#4, C5"
13,0.13298038,1549.3821451175731,3141.2572374299652,0.27448735,C,-197.4169,C,minor,Minor Pentatonic,C Minor Pentatonic,1.5499929189682007,0.09746430814266205,"C4, D#4, F4, G4, A#4, C5"
17,0.21304515,1902.280785166474,4196.750288289702,0.34235594,G,-80.964935,G,minor,Minor Pentatonic,G Minor Pentatonic,1.7273390293121338,0.09622347056865692,"G4, A#4, C5, D5, F5, G5"
18,0.07155955,2179.61968210363,4935.113949900985,0.3088076,E,-184.69548,E,minor,Minor Pentatonic,E Minor Pentatonic,1.6803714036941528,0.09674728214740753,"E4, G4, A4, B4, D5, E5"
19,0.22099948,1639.0100973897004,3545.120006443299,0.41543242,A#,-67.36325,A#,minor,Minor Pentatonic,A# Minor Pentatonic,1.3943309783935547,0.09599127620458603,"A#4, C#5, D#5, F5, G#5, A#5"
20,0.13118018,2207.559752254018,4664.358187016753,0.35330462,A,-122.69152,A,minor,Minor Pentatonic,A Minor Pentatonic,1.4356387853622437,0.09537628442049026,"A4, C5, D5, E5, G5, A5"
21,0.19814523,1668.4670920738233,3617.3174190373843,0.28101784,D#,-85.238655,D#,major,Major Pentatonic,D# Major Pentatonic,2.829545021057129,0.11408754959702491,"D#4, F4, G4, A#4, C5, D#5"
22,0.11901024,1584.098101203815,3234.120615536405,0.41308284,A,-133.05272,A,minor,Minor Pentatonic,A Minor Pentatonic,1.5156034231185913,0.09715494215488434,"A4, C5, D5, E5, G5, A5"
24,0.15758812,2074.677006729119,4401.426656684698,0.2670979,F#,-99.566505,F#,major,Major Pentatonic,F# Major Pentatonic,1.5225225687026978,0.09495885372161865,"F#4, G#4, A#4, C#5, D#5, F#5"
25,0.14287253,2306.5787169476184,4764.218417938562,0.44324264,G,-80.69896,G,enigmatic,Enigmatic,G Enigmatic,1.6282827854156494,0.09144855769617218,"G4, G#4, B4, C#5, D#5, F5, F#5, G5"
31,0.12169504,2363.1173974842254,5550.837981233892,0.37333065,D,-134.77518,D,major,Major Pentatonic,D Major Pentatonic,1.19877290725708,0.0876597821712494,"D4, E4, F#4, A4, B4, D5"
32,0.23987545,1726.342409163885,2856.090805211018,0.3097985,C,-75.759735,C,major,Major Pentatonic,C Major Pentatonic,2.1329879760742188,0.10695639252662659,"C4, D4, E4, G4, A4, C5"
